Year,Total,Groundwater,Trinity,San Jacinto,Brazos,Reclaimed
1990,104.6296528,62.56727649,0,0,41.63306128,0.429315068
1991,99.77405741,56.37579442,0,0,43.04538628,0.352876712
1992,94.78630451,56.07621709,0,0,38.2928743,0.417213115
1993,116.8974532,55.22326269,0,0,61.21665627,0.457534247
1994,120.4010433,60.02464918,0,0,60.02625712,0.350136986
1995,122.1397212,62.77476452,0,0,58.99755937,0.36739726
1996,130.85395,67.48600132,0,0,62.89007982,0.477868852
1997,113.875057,61.31375744,0,0,52.26623111,0.295068493
1998,147.9687371,77.58000422,0,0,69.6553082,0.733424658
1999,155.8685475,78.26517713,0,0,76.86364435,0.739726027
2000,167.3569027,86.53981067,0,0,79.83430518,0.982786885
2001,155.2844437,74.57165245,0,0,80.09799674,0.614794521
2002,132.7230341,78.69327735,0,0,53.37907177,0.650684932
2003,120.0263121,80.48293971,0,0,39.00451647,0.53885589
2004,124.7165024,82.016989,0,0,42.28558634,0.413927049
2005,148.8918534,100.5483562,0,0,47.67537587,0.66812137
2006,145.5214892,94.20245722,0,0,50.74835881,0.570673151
2007,122.8036856,79.07037296,0,0,43.568948,0.164364658
2008,157.4575197,101.1456339,0,0,55.69285807,0.619027683
2009,160.4121834,111.0009464,0,0,48.71574146,0.695495616
2010,147.606107,99.23265681,0,0,46.36192981,2.011520348
2011,203.4609412,131.8791607,0,3.052680038,65.9170926,2.612007847
2012,160.5830112,98.29740954,0,4.906925688,54.81283013,2.5658458
2013,154.8308703,96.19167109,0,7.25,48.85762439,2.531574855
2014,158.7534976,74.01683192,0,12.98,67.28824651,4.46841917
2015,159.1265132,71.40612949,0,14.56,69.20044885,3.959934819
2016,148.9214356,72.6635893,0,17.57,54.55627784,4.131568493
2017,154.8467468,74.69254413,0,17.16,58.71977577,4.27442686
2018,160.6899812,77.97998118,,14.18,63.45,5.08
2019,170.3956273,75.49562727,,15.734,74.866,4.3
2020,154.4975867,76.73358674,,16.583,57.274,3.907
2021,140.5375889,67.39058887,,15.41,53.344,4.393
2022,187.9507782,92.3507782,,20.49,67.86,7.25
2023,188.114015,95.53507273,,18.74,67.06647768,6.772464597
