Year,Total,Groundwater,Trinity,San Jacinto,Brazos,Reclaimed
1976,748.5646186,456.3346186,8.73,212.23,71.27,0
1977,779.1608833,423.2108833,60.4,217.54,78.01,0
1978,861.0272103,423.2272103,113.24,235.7,88.86,0
1979,829.6355481,392.2755481,150.92,206.08,80.36,0
1980,862.1026444,430.6726444,143.34,223.41,64.68,0
1981,823.4377735,404.0577735,147.45,206.88,65.05,0
1982,828.8043339,427.2243339,135.61,208.14,57.83,0
1983,731.3469035,354.3669035,128.77,198.1,50.11,0
1984,800.662539,382.342539,132.27,229.42,56.63,0
1985,820.3292728,381.8792728,143.71,228.93,65.81,0
1986,775.4157121,362.9057121,194.38,166.54,51.59,0
1987,789.7436052,352.8303175,223.61,146.78,66.4,0.123287671
1988,851.3897798,377.5358072,208,191.34,74.24,0.273972603
1989,832.3345513,363.5145513,221.79,162.48,84.55,0
1990,847.7748908,367.9848908,243.08,162.23,74.48,0
1991,843.043537,322.103537,307.92,139.71,73.31,0
1992,820.9029884,306.4329884,337.64,113.49,63.34,0
1993,860.8088329,321.5788329,345.54,120.56,73.13,0
1994,874.690509,316.710509,355.84,117.87,84.27,0
1995,875.0786833,318.6073407,354.39,122.87,79.21134262,0
1996,905.3000488,328.6819765,387.14,118.27,71.20807237,0
1997,871.3844408,289.0951257,403.38,101.99,76.67,0.249315068
1998,952.2393943,322.9843975,431.17,122.72,75.11842146,0.246575342
1999,958.2484639,330.5503786,410.73,141.95,75.01808531,0
2000,1002.098596,341.8984555,407.6,177.87,74.73014039,0
2001,923.7633616,291.373653,420.1792329,131.8987123,79.92820174,0.383561644
2002,927.7440646,277.9121406,438.3205479,120.527589,90.57556789,0.408219178
2003,916.7169214,277.5043599,432.5877534,114.2221606,91.86840087,0.534246575
2004,896.9970969,234.2903341,446.5157923,125.7898361,89.7299015,0.671232877
2005,955.5707394,296.5851162,456.3379178,121.7913353,80.10333712,0.753032877
2006,963.298297,247.3139837,504.2345844,137.1348685,73.70237543,0.912484932
2007,900.9136796,214.2391331,481.6395068,129.0444587,75.91973435,0.070846575
2008,952.4105419,256.8987379,484.3460758,122.7399491,84.82948527,3.596293885
2009,909.1025714,246.2324033,448.1709135,133.8971576,79.04710494,1.754992055
2010,937.2102051,225.5527287,479.300717,145.9382832,81.57326259,4.845213529
2011,1056.097695,276.9719593,550.6458687,137.5382715,86.49604095,4.445554721
2012,935.8027389,215.9490405,521.1431857,113.9435284,81.68754255,3.07944174
2013,993.8973145,218.1561521,528.4958904,115.2994983,127.4480215,4.497752082
2014,939.6075929,199.5032505,517.0563288,145.4565893,76.62064878,0.97077551
2015,911.1589684,212.4987479,477.0387945,144.418599,76.61660465,0.58622243
2016,987.0931247,226.5215739,506.6326301,168.4376493,84.87446353,0.62680783
2017,967.7659604,217.4312593,518.5012329,156.2031772,75.05614439,0.574146605
2018,1000.451724,222.8317236,550.07,155.42,71.23,0.9
2019,975.1157046,228.3696895,531.5024685,144.6287616,70.32852473,0.286260274
2020,980.2820303,209.7975754,534.7242179,164.6085274,68.79054419,2.361165397
2021,987.0257934,204.0300012,535.8680473,172.7698718,70.90653457,3.451338586
2022,1063.80856,253.2443554,546.2137332,177.2263189,82.67112156,4.45303129
2023,1077.719064,258.5937664,550.4398162,184.3546576,79.31273154,5.018092079
